plan_external_key,waste_kg_predicted,waste_kg_actual,delivery_time_predicted_h,delivery_time_actual_h,demand_predicted,demand_actual,mandi_id,weekday,crop_type,road_segment,notes,outcome_index,season
OUT-2024-001,80.0,75.0,4.0,4.1,4800.0,4000.0,dp-apmc-01,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,1,Kharif 2024
OUT-2024-002,83.0,77.5,4.05,4.15,4980.0,4150.0,dp-apmc-02,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,2,Kharif 2024
OUT-2024-003,86.0,80.0,4.1,4.2,5160.0,4300.0,dp-apmc-03,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,3,Kharif 2024
OUT-2024-004,89.0,82.5,4.15,4.25,5340.0,4450.0,dp-apmc-04,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,4,Kharif 2024
OUT-2024-005,92.0,85.0,4.2,4.3,5520.0,4600.0,dp-apmc-05,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,5,Kharif 2024
OUT-2024-006,95.0,87.5,4.25,4.35,5700.0,4750.0,dp-apmc-06,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,6,Kharif 2024
OUT-2024-007,98.0,90.0,4.3,4.4,5880.0,4900.0,dp-apmc-01,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,7,Kharif 2024
OUT-2024-008,101.0,92.5,4.35,4.45,6060.0,5050.0,dp-apmc-02,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,8,Kharif 2024
OUT-2024-009,104.0,95.0,4.4,4.5,6240.0,5200.0,dp-apmc-03,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,9,Kharif 2024
OUT-2024-010,107.0,97.5,4.45,4.55,6420.0,5350.0,dp-apmc-04,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,10,Kharif 2024
OUT-2024-011,110.0,100.0,4.5,4.6,6600.0,5500.0,dp-apmc-05,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,11,Kharif 2024
OUT-2024-012,113.0,102.5,4.55,4.65,6780.0,5650.0,dp-apmc-06,Tuesday,tomato,,Historical bundle: mandi demand models ran ~20pct high vs realized lift on Tuesday auctions,12,Kharif 2024
OUT-2024-013,95.0,102.0,5.0,7.0,5100.0,5050.0,dp-apmc-04,Wednesday,onion,NH-48,Monsoon season NH-48 Nashik-Pune leg observed ~40pct travel time inflation vs dry routing plan,13,Kharif 2024
OUT-2024-014,99.0,106.0,5.12,7.17,5140.0,5085.0,dp-apmc-05,Wednesday,tomato,NH-48,Monsoon season NH-48 Nashik-Pune leg observed ~40pct travel time inflation vs dry routing plan,14,Kharif 2024
OUT-2024-015,103.0,110.0,5.24,7.34,5180.0,5120.0,dp-apmc-04,Wednesday,onion,NH-48,Monsoon season NH-48 Nashik-Pune leg observed ~40pct travel time inflation vs dry routing plan,15,Kharif 2024
