id,name,lat,lng,crop_type,acreage,typical_yield_kg,harvest_window_start,harvest_window_end,state
farm-001,Nandi Valley Tomatoes,13.0827,77.5439,tomato,8.4,1200,2026-06-08,2026-08-15,Karnataka
farm-002,Tumkur Organic Tomato Coop,13.3409,77.1011,tomato,11.2,1800,2026-06-10,2026-08-20,Karnataka
farm-003,Raichur Table Tomato Estate,16.2076,77.3463,tomato,6.8,950,2026-06-06,2026-08-10,Karnataka
farm-004,Chikkaballapur Cherry Tomatoes,13.4322,77.7275,tomato,9.1,1500,2026-06-11,2026-08-25,Karnataka
farm-005,Bellary Tomato Farmers Union,15.1394,76.9214,tomato,14.0,2000,2026-06-09,2026-08-18,Karnataka
farm-006,Nasik Hills Onion Growers,19.9975,73.7898,onion,10.5,900,2026-05-28,2026-08-30,Maharashtra
farm-007,Solapur Red Onion Collective,17.6599,75.9064,onion,18.3,1500,2026-06-01,2026-09-05,Maharashtra
farm-008,Sangli Onion Cooperatives,16.8524,74.5815,onion,12.7,1200,2026-06-05,2026-09-10,Maharashtra
farm-009,Dhule Onion Plains,20.9042,74.7778,onion,9.4,800,2026-05-25,2026-08-25,Maharashtra
farm-010,Pune Plateau Onions,18.5204,73.8567,onion,7.2,600,2026-06-08,2026-09-12,Maharashtra
farm-011,Chikmagalur Robusta Banana,13.3161,75.7720,banana,15.6,700,2026-06-07,2026-09-01,Karnataka
farm-012,Coastal Karwar Cavendish,14.8136,74.1286,banana,22.1,1200,2026-06-10,2026-09-10,Karnataka
farm-013,Mysore Nendran Banana Trust,12.2958,76.6394,banana,11.0,500,2026-06-05,2026-08-28,Karnataka
farm-014,Shivamogga Hill Plantains,13.9299,75.5681,banana,13.8,850,2026-06-09,2026-09-05,Karnataka
farm-015,Haveri Grand Naine,14.8006,75.3910,banana,19.4,1000,2026-06-11,2026-09-08,Karnataka
farm-016,Ratnagiri Alphonso Grove,16.9902,73.3120,mango,25.0,750,2026-06-06,2026-08-20,Maharashtra
farm-017,Devgad Mango Estates,16.3869,73.3984,mango,30.5,900,2026-06-10,2026-08-30,Maharashtra
farm-018,Belgaum Kesar Block,15.8497,74.4977,mango,18.2,500,2026-06-08,2026-08-15,Maharashtra
farm-019,Dharwad Banganapalli Farms,15.4589,75.0078,mango,12.3,400,2026-06-11,2026-08-22,Karnataka
farm-020,Bijapur Mango Collective,16.8244,75.7154,mango,21.7,650,2026-06-07,2026-08-25,Karnataka
